Year,Statistic,Name,Team,Value
1947,Complete Games,Ewell Blackwell,Cincinnati,23.0
1947,ERA,Warren Spahn,Boston,2.33
1947,Games,Ken Trinkle,New York,62.0
1947,Saves,Hugh Casey,Brooklyn,18.0
1947,Shutouts,Warren Spahn,Boston,7.0
1947,Strikeouts,Ewell Blackwell,Cincinnati,193.0
1947,Winning Percentage,Larry Jansen,New York,0.808
1947,Wins,Ewell Blackwell,Cincinnati,22.0
1953,Complete Games,Robin Roberts,Philadelphia,33.0
1953,ERA,Warren Spahn,Milwaukee,2.1
1953,Games,Hoyt Wilhelm,New York,68.0
1953,Saves,Al Brazle,St. Louis,18.0
1953,Shutouts,Harvey Haddix,St. Louis,6.0
1953,Strikeouts,Robin Roberts,Philadelphia,198.0
1953,Winning Percentage,Carl Erskine,Brooklyn,0.769
1953,Wins,Robin Roberts,Philadelphia,23.0
1984,Complete Games,Mario Soto,Cincinnati,13.0
1984,ERA,Alejandro Pena,Los Angeles,2.48
1984,Games,Ted Power,Cincinnati,78.0
1984,Saves,Bruce Sutter,St. Louis,45.0
1984,Shutouts,Joaquin Andujar,St. Louis,4.0
1984,Strikeouts,Dwight Gooden,New York,276.0
1984,Winning Percentage,Rick Sutcliffe,Chicago,0.941
1984,Wins,Joaquin Andujar,St. Louis,20.0
1990,Complete Games,Ramon Martinez,Los Angeles,12.0
1990,ERA,Danny Darwin,Houston,2.21
1990,Games,Juan Agosto,Houston,82.0
1990,Saves,John Franco,New York,33.0
1990,Shutouts,Bruce Hurst,San Diego,4.0
1990,Strikeouts,David Cone,New York,233.0
1990,Winning Percentage,Doug Drabek,Pittsburgh,0.786
1990,Wins,Doug Drabek,Pittsburgh,22.0
1991,Complete Games,Tom Glavine,Atlanta,9.0
1991,ERA,Dennis Martinez,Montreal,2.39
1991,Games,Barry Jones,Montreal,77.0
1991,Saves,Lee Smith,St. Louis,47.0
1991,Shutouts,Dennis Martinez,Montreal,5.0
1991,Strikeouts,David Cone,New York,241.0
1991,Winning Percentage,Jose Rijo,Cincinnati,0.714
1991,Wins,Tom Glavine,Atlanta,20.0
1985,Complete Games,Dwight Gooden,New York,16.0
1985,ERA,Dwight Gooden,New York,1.53
1985,Games,Tim Burke,Montreal,78.0
1985,Saves,Jeff Reardon,Montreal,41.0
1985,Shutouts,John Tudor,St. Louis,10.0
1985,Strikeouts,Dwight Gooden,New York,268.0
1985,Winning Percentage,Orel Hershiser,Los Angeles,0.864
1985,Wins,Dwight Gooden,New York,24.0
1952,Complete Games,Robin Roberts,Philadelphia,30.0
1952,ERA,Hoyt Wilhelm,New York,2.43
1952,Games,Hoyt Wilhelm,New York,71.0
1952,Saves,Al Brazle,St. Louis,16.0
1952,Shutouts,Ken Raffensberger,Cincinnati,6.0
1952,Strikeouts,Warren Spahn,Boston,183.0
1952,Winning Percentage,Hoyt Wilhelm,New York,0.833
1952,Wins,Robin Roberts,Philadelphia,28.0
1946,Complete Games,Johnny Sain,Boston,24.0
1946,ERA,Howie Pollet,St. Louis,2.1
1946,Games,Ken Trinkle,New York,48.0
1946,Saves,Ken Raffensberger,Philadelphia,6.0
1946,Shutouts,Ewell Blackwell,Cincinnati,5.0
1946,Strikeouts,Johnny Schmitz,Chicago,135.0
1946,Winning Percentage,Murry Dickson,St. Louis,0.714
1946,Wins,Howie Pollet,St. Louis,21.0
1978,Complete Games,Phil Niekro,Atlanta,22.0
1978,ERA,Craig Swan,New York,2.43
1978,Games,Kent Tekulve,Pittsburgh,91.0
1978,Saves,Rollie Fingers,San Diego,37.0
1978,Shutouts,Bob Knepper,San Francisco,6.0
1978,Strikeouts,J.R. Richard,Houston,303.0
1978,Winning Percentage,Gaylord Perry,San Diego,0.778
1978,Wins,Gaylord Perry,San Diego,21.0
1950,Complete Games,Vern Bickford,Boston,27.0
1950,ERA,Jim Hearn,St. Louis,2.49
1950,Games,Jim Konstanty,Philadelphia,74.0
1950,Saves,Jim Konstanty,Philadelphia,22.0
1950,Shutouts,Jim Hearn,St. Louis,5.0
1950,Strikeouts,Warren Spahn,Boston,191.0
1950,Winning Percentage,Sal Maglie,New York,0.818
1950,Wins,Warren Spahn,Boston,21.0
1944,Complete Games,Jim Tobin,Boston,28.0
1944,ERA,Ed Heusser,Cincinnati,2.38
1944,Games,Ace Adams,New York,65.0
1944,Saves,Ace Adams,New York,13.0
1944,Shutouts,Mort Cooper,St. Louis,7.0
1944,Strikeouts,Bill Voiselle,New York,161.0
1944,Winning Percentage,Ted Wilks,St. Louis,0.81
1944,Wins,Bucky Walters,Cincinnati,23.0
1993,Complete Games,Greg Maddux,Atlanta,8.0
1993,ERA,Greg Maddux,Atlanta,2.36
1993,Games,Mike Jackson,San Francisco,81.0
1993,Saves,Randy Myers,Chicago,53.0
1993,Shutouts,Pete Harnisch,Houston,4.0
1993,Strikeouts,Jose Rijo,Cincinnati,227.0
1993,Winning Percentage,Mark Portugal,Houston,0.818
1993,Wins,John Burkett,San Francisco,22.0
1987,Complete Games,Rick Reuschel,San Francisco,12.0
1987,ERA,Nolan Ryan,Houston,2.76
1987,Games,Kent Tekulve,Philadelphia,90.0
1987,Saves,Steve Bedrosian,Philadelphia,40.0
1987,Shutouts,Rick Reuschel,San Francisco,4.0
1987,Strikeouts,Nolan Ryan,Houston,270.0
1987,Winning Percentage,Dwight Gooden,New York,0.682
1987,Wins,Rick Sutcliffe,Chicago,18.0
1986,Complete Games,Fernando Valenzuela,Los Angeles,20.0
1986,ERA,Mike Scott,Houston,2.22
1986,Games,Craig Lefferts,San Diego,83.0
1986,Saves,Todd Worrell,St. Louis,36.0
1986,Shutouts,Bob Knepper,Houston,5.0
1986,Strikeouts,Mike Scott,Houston,306.0
1986,Winning Percentage,Bob Ojeda,New York,0.783
1986,Wins,Fernando Valenzuela,Los Angeles,21.0
1992,Complete Games,Terry Mulholland,Philadelphia,12.0
1992,ERA,Bill Swift,San Francisco,2.08
1992,Games,Joe Boever,Houston,81.0
1992,Saves,Lee Smith,St. Louis,43.0
1992,Shutouts,David Cone,New York,5.0
1992,Strikeouts,John Smoltz,Atlanta,215.0
1992,Winning Percentage,Bob Tewksbury,St. Louis,0.762
1992,Wins,Tom Glavine,Atlanta,20.0
1945,Complete Games,Red Barrett,Boston,24.0
1945,ERA,Hank Borowy,Chicago,2.13
1945,Games,Andy Karl,Philadelphia,67.0
1945,Saves,Ace Adams,New York,15.0
1945,Shutouts,Claude Passeau,Chicago,5.0
1945,Strikeouts,Preacher Roe,Pittsburgh,148.0
1945,Winning Percentage,Harry Brecheen,St. Louis,0.789
1945,Wins,Red Barrett,Boston,23.0
1951,Complete Games,Warren Spahn,Boston,26.0
1951,ERA,Chet Nichols,Boston,2.88
1951,Games,Ted Wilks,St. Louis,65.0
1951,Saves,Ted Wilks,St. Louis,13.0
1951,Shutouts,Warren Spahn,Boston,7.0
1951,Strikeouts,Don Newcombe,Brooklyn,164.0
1951,Winning Percentage,Preacher Roe,Brooklyn,0.88
1951,Wins,Larry Jansen,New York,23.0
1979,Complete Games,Phil Niekro,Atlanta,23.0
1979,ERA,J.R. Richard,Houston,2.71
1979,Games,Kent Tekulve,Pittsburgh,94.0
1979,Saves,Bruce Sutter,Chicago,37.0
1979,Shutouts,Phil Niekro,Atlanta,5.0
1979,Strikeouts,J.R. Richard,Houston,313.0
1979,Winning Percentage,Tom Seaver,Cincinnati,0.727
1979,Wins,Joe Niekro,Houston,21.0
1955,Complete Games,Robin Roberts,Philadelphia,26.0
1955,ERA,Bob Friend,Pittsburgh,2.83
1955,Games,Clem Labine,Brooklyn,60.0
1955,Saves,Jack Meyer,Philadelphia,16.0
1955,Shutouts,Joe Nuxhall,Cincinnati,5.0
1955,Strikeouts,Sam Jones,Chicago,198.0
1955,Winning Percentage,Don Newcombe,Brooklyn,0.8
1955,Wins,Robin Roberts,Philadelphia,23.0
1941,Complete Games,Bucky Walters,Cincinnati,27.0
1941,ERA,Elmer Riddle,Cincinnati,2.24
1941,Games,Kirby Higbe,Brooklyn,48.0
1941,Saves,Jumbo Brown,New York,8.0
1941,Shutouts,Whit Wyatt,Brooklyn,7.0
1941,Strikeouts,Johnny Vander Meer,Cincinnati,202.0
1941,Winning Percentage,Elmer Riddle,Cincinnati,0.826
1941,Wins,Kirby Higbe,Brooklyn,22.0
1969,Complete Games,Bob Gibson,St. Louis,28.0
1969,ERA,Juan Marichal,San Francisco,2.1
1969,Games,Wayne Granger,Cincinnati,90.0
1969,Saves,Fred Gladding,Houston,29.0
1969,Shutouts,Juan Marichal,San Francisco,8.0
1969,Strikeouts,Fergie Jenkins,Chicago,273.0
1969,Winning Percentage,Tom Seaver,New York,0.781
1969,Wins,Tom Seaver,New York,25.0
1996,Complete Games,Curt Schilling,Philadelphia,8.0
1996,ERA,Kevin Brown,Florida,1.89
1996,Games,Brad Clontz,Atlanta,81.0
1996,Saves,Jeff Brantley,Cincinnati,44.0
1996,Shutouts,Kevin Brown,Florida,3.0
1996,Strikeouts,John Smoltz,Atlanta,276.0
1996,Winning Percentage,John Smoltz,Atlanta,0.75
1996,Wins,John Smoltz,Atlanta,24.0
1982,Complete Games,Steve Carlton,Philadelphia,19.0
1982,ERA,Steve Rogers,Montreal,2.4
1982,Games,Kent Tekulve,Pittsburgh,85.0
1982,Saves,Bruce Sutter,St. Louis,36.0
1982,Shutouts,Steve Carlton,Philadelphia,6.0
1982,Strikeouts,Steve Carlton,Philadelphia,286.0
1982,Winning Percentage,Phil Niekro,Atlanta,0.81
1982,Wins,Steve Carlton,Philadelphia,23.0
1983,Complete Games,Mario Soto,Cincinnati,18.0
1983,ERA,Atlee Hammaker,San Francisco,2.25
1983,Games,Bill Campbell,Chicago,82.0
1983,Saves,Lee Smith,Chicago,29.0
1983,Shutouts,Steve Rogers,Montreal,5.0
1983,Strikeouts,Steve Carlton,Philadelphia,275.0
1983,Winning Percentage,John Denny,Philadelphia,0.76
1983,Wins,John Denny,Philadelphia,19.0
1997,Complete Games,Pedro Martinez,Montreal,13.0
1997,ERA,Pedro Martinez,Montreal,1.9
1997,Games,Julian Tavarez,San Francisco,89.0
1997,Saves,Jeff Shaw,Cincinnati,42.0
1997,Shutouts,Carlos Perez,Montreal,5.0
1997,Strikeouts,Curt Schilling,Philadelphia,319.0
1997,Winning Percentage,Greg Maddux,Atlanta,0.826
1997,Wins,Denny Neagle,Atlanta,20.0
1968,Complete Games,Juan Marichal,San Francisco,30.0
