Year,Statistic,Name,Team,Value
1917,Base on Balls,George Burns,New York,75.0
1917,Batting Average,Edd Roush,Cincinnati,0.341
1917,Doubles,Heinie Groh,Cincinnati,39.0
1917,Hits,Heinie Groh,Cincinnati,182.0
1917,Home Runs,Gavvy Cravath,Philadelphia,12.0
1917,On Base Percentage,Heinie Groh,Cincinnati,0.385
1917,RBI,Heinie Zimmerman,New York,102.0
1917,Runs,George Burns,New York,103.0
1917,Slugging Average,Rogers Hornsby,St. Louis,0.484
1917,Stolen Bases,Max Carey,Pittsburgh,46.0
1917,Total Bases,Rogers Hornsby,St. Louis,253.0
1917,Triples,Rogers Hornsby,St. Louis,17.0
1903,Base on Balls,Roy Thomas,Philadelphia,107.0
1903,Batting Average,Honus Wagner,Pittsburgh,0.355
1903,Doubles,Fred Clarke,Pittsburgh,32.0
1903,Hits,Ginger Beaumont,Pittsburgh,209.0
1903,Home Runs,Jimmy Sheckard,Brooklyn,9.0
1903,On Base Percentage,Roy Thomas,Philadelphia,0.453
1903,RBI,Sam Mertes,New York,104.0
1903,Runs,Ginger Beaumont,Pittsburgh,137.0
1903,Slugging Average,Fred Clarke,Pittsburgh,0.532
1903,Stolen Bases,Frank Chance,Chicago,67.0
1903,Total Bases,Ginger Beaumont,Pittsburgh,272.0
1903,Triples,Honus Wagner,Pittsburgh,19.0
2007,Base on Balls,Barry Bonds,San Francisco,132.0
2007,Batting Average,Matt Holliday,Colorado,0.34
2007,Doubles,Matt Holliday,Colorado,50.0
2007,Hits,Matt Holliday,Colorado,216.0
2007,Home Runs,Prince Fielder,Milwaukee,50.0
2007,On Base Percentage,Todd Helton,Colorado,0.434
2007,RBI,Matt Holliday,Colorado,137.0
2007,Runs,Jimmy Rollins,Philadelphia,139.0
2007,Slugging Average,Prince Fielder,Milwaukee,0.618
2007,Stolen Bases,Jose Reyes,New York,78.0
2007,Total Bases,Matt Holliday,Colorado,386.0
2007,Triples,Jimmy Rollins,Philadelphia,20.0
2013,Base on Balls,Joey Votto,Cincinnati,135.0
2013,Batting Average,Michael Cuddyer,Colorado,0.331
2013,Doubles,Matt Carpenter,St. Louis,55.0
2013,Hits,Matt Carpenter,St. Louis,199.0
2013,Home Runs,Pedro Alvarez,Pittsburgh,36.0
2013,On Base Percentage,Joey Votto,Cincinnati,0.435
2013,RBI,Paul Goldschmidt,Arizona,125.0
2013,Runs,Matt Carpenter,St. Louis,126.0
2013,Slugging Average,Paul Goldschmidt,Arizona,0.552
2013,Stolen Bases,Eric Young,Colorado / New York,46.0
2013,Total Bases,Paul Goldschmidt,Arizona,332.0
2013,Triples,Denard Span,Washington,11.0
1888,Base on Balls,Roger Connor,New York,73.0
1888,Batting Average,Cap Anson,Chicago,0.344
1888,Doubles,Dan Brouthers,Detroit,33.0
1888,Hits,Jimmy Ryan,Chicago,182.0
1888,Home Runs,Jimmy Ryan,Chicago,16.0
1888,On Base Percentage,Cap Anson,Chicago,0.4
1888,RBI,Cap Anson,Chicago,84.0
1888,Runs,Dan Brouthers,Detroit,118.0
1888,Slugging Average,Jimmy Ryan,Chicago,0.515
1888,Total Bases,Jimmy Ryan,Chicago,283.0
1888,Triples,Dick Johnston,Boston,18.0
1877,Base on Balls,Jim O'Rourke,Boston,20.0
1877,Batting Average,Deacon White,Boston,0.387
1877,Doubles,Cap Anson,Chicago,19.0
1877,Hits,Deacon White,Boston,103.0
1877,Home Runs,Lip Pike,Cincinnati,4.0
1877,On Base Percentage,Jim O'Rourke,Boston,0.407
1877,RBI,Deacon White,Boston,49.0
1877,Runs,Jim O'Rourke,Boston,68.0
1877,Slugging Average,Deacon White,Boston,0.545
1877,Total Bases,Deacon White,Boston,145.0
1877,Triples,Deacon White,Boston,11.0
1876,Base on Balls,Ross Barnes,Chicago,20.0
1876,Batting Average,Ross Barnes,Chicago,0.429
1876,Doubles,Ross Barnes,Chicago,21.0
1876,Hits,Ross Barnes,Chicago,138.0
1876,Home Runs,George Hall,Philadelphia,5.0
1876,On Base Percentage,Ross Barnes,Chicago,0.462
1876,RBI,Deacon White,Chicago,60.0
1876,Runs,Ross Barnes,Chicago,126.0
1876,Slugging Average,Ross Barnes,Chicago,0.59
1876,Total Bases,Ross Barnes,Chicago,190.0
1876,Triples,Ross Barnes,Chicago,14.0
1889,Base on Balls,Mike Tiernan,New York,96.0
1889,Batting Average,Dan Brouthers,Boston,0.373
1889,Doubles,King Kelly,Boston,41.0
1889,Hits,Jack Glasscock,Indianapolis,205.0
1889,Home Runs,Sam Thompson,Philadelphia,20.0
1889,On Base Percentage,Fred Carroll,Pittsburgh,0.486
1889,RBI,Roger Connor,New York,130.0
1889,Runs,Mike Tiernan,New York,147.0
1889,Slugging Average,Roger Connor,New York,0.528
1889,Total Bases,Jimmy Ryan,Chicago,297.0
1889,Triples,Walt Wilmot,Washington,19.0
2012,Base on Balls,Dan Uggla,Atlanta,94.0
2012,Batting Average,Buster Posey *,San Francisco,0.336
2012,Doubles,Aramis Ramirez,Milwaukee,50.0
2012,Hits,Andrew McCutchen,Pittsburgh,194.0
2012,Home Runs,Ryan Braun,Milwaukee,41.0
2012,On Base Percentage,Joey Votto,Cincinnati,0.474
2012,RBI,Chase Headley,San Diego,115.0
2012,Runs,Ryan Braun,Milwaukee,108.0
2012,Slugging Average,Mike Stanton,Miami,0.608
2012,Stolen Bases,Everth Cabrera,San Diego,44.0
2012,Total Bases,Ryan Braun,Milwaukee,356.0
2012,Triples,Angel Pagan,San Francisco,15.0
2006,Base on Balls,Barry Bonds,San Francisco,115.0
2006,Batting Average,Freddy Sanchez,Pittsburgh,0.344
2006,Doubles,Freddy Sanchez,Pittsburgh,53.0
2006,Hits,Juan Pierre,Chicago,204.0
2006,Home Runs,Ryan Howard,Philadelphia,58.0
2006,On Base Percentage,Barry Bonds *,San Francisco,0.454
2006,RBI,Ryan Howard,Philadelphia,149.0
2006,Runs,Chase Utley,Philadelphia,131.0
2006,Slugging Average,Albert Pujols,St. Louis,0.671
2006,Stolen Bases,Jose Reyes,New York,64.0
2006,Total Bases,Ryan Howard,Philadelphia,383.0
2006,Triples,Jose Reyes,New York,17.0
1902,Base on Balls,Roy Thomas,Philadelphia,107.0
1902,Batting Average,Ginger Beaumont,Pittsburgh,0.357
1902,Doubles,Honus Wagner,Pittsburgh,30.0
1902,Hits,Ginger Beaumont,Pittsburgh,193.0
1902,Home Runs,Tommy Leach,Pittsburgh,6.0
1902,On Base Percentage,Roy Thomas,Philadelphia,0.414
1902,RBI,Honus Wagner,Pittsburgh,91.0
1902,Runs,Honus Wagner,Pittsburgh,105.0
1902,Slugging Average,Honus Wagner,Pittsburgh,0.463
1902,Stolen Bases,Honus Wagner,Pittsburgh,42.0
1902,Total Bases,Sam Crawford,Cincinnati,256.0
1902,Triples,Sam Crawford,Cincinnati,22.0
1916,Base on Balls,Heinie Groh,Cincinnati,84.0
1916,Batting Average,Hal Chase,Cincinnati,0.339
1916,Doubles,Bert Niehoff,Philadelphia,42.0
1916,Hits,Hal Chase,Cincinnati,184.0
1916,Home Runs,Dave Robertson,New York,12.0
1916,On Base Percentage,Gavvy Cravath,Philadelphia,0.379
1916,RBI,Heinie Zimmerman,Chicago,83.0
1916,Runs,George Burns,New York,105.0
1916,Slugging Average,Zack Wheat,Brooklyn,0.461
1916,Stolen Bases,Max Carey,Pittsburgh,63.0
1916,Total Bases,Zack Wheat,Brooklyn,262.0
1916,Triples,Bill Hinchman,Pittsburgh,16.0
1900,Base on Balls,Roy Thomas,Philadelphia,115.0
1900,Batting Average,Honus Wagner,Pittsburgh,0.381
1900,Doubles,Honus Wagner,Pittsburgh,45.0
1900,Hits,Willie Keeler,Brooklyn,204.0
1900,Home Runs,Herman Long,Boston,12.0
1900,On Base Percentage,John McGraw,St. Louis,0.505
1900,RBI,Elmer Flick,Philadelphia,110.0
1900,Runs,Roy Thomas,Philadelphia,132.0
1900,Slugging Average,Honus Wagner,Pittsburgh,0.573
1900,Stolen Bases,Patsy Donovan,St. Louis,45.0
1900,Total Bases,Honus Wagner,Pittsburgh,302.0
1900,Triples,Honus Wagner,Pittsburgh,22.0
1914,Base on Balls,Miller Huggins,St. Louis,105.0
1914,Batting Average,Jake Daubert,Brooklyn,0.329
1914,Doubles,Sherry Magee,Philadelphia,39.0
1914,Hits,Sherry Magee,Philadelphia,171.0
1914,Home Runs,Gavvy Cravath,Philadelphia,19.0
1914,On Base Percentage,Casey Stengel,Brooklyn,0.404
1914,RBI,Sherry Magee,Philadelphia,103.0
1914,Runs,George Burns,New York,100.0
1914,Slugging Average,Sherry Magee,Philadelphia,0.509
1914,Stolen Bases,George Burns,New York,62.0
1914,Total Bases,Sherry Magee,Philadelphia,277.0
1914,Triples,Max Carey,Pittsburgh,17.0
1928,Base on Balls,Rogers Hornsby,Boston,107.0
1928,Batting Average,Rogers Hornsby,Boston,0.387
1928,Doubles,Paul Waner,Pittsburgh,50.0
1928,Hits,Freddie Lindstrom,New York,231.0
1928,Home Runs,Jim Bottomley,St. Louis,31.0
1928,On Base Percentage,Rogers Hornsby,Boston,0.498
1928,RBI,Jim Bottomley,St. Louis,136.0
1928,Runs,Paul Waner,Pittsburgh,142.0
1928,Slugging Average,Rogers Hornsby,Boston,0.632
1928,Stolen Bases,Kiki Cuyler,Chicago,37.0
1928,Total Bases,Jim Bottomley,St. Louis,362.0
1928,Triples,Jim Bottomley,St. Louis,20.0
2010,Base on Balls,Prince Fielder,Milwaukee,114.0
2010,Batting Average,Carlos Gonzalez,Colorado,0.336
2010,Doubles,Jayson Werth,Philadelphia,46.0
2010,Hits,Carlos Gonzalez,Colorado,197.0
2010,Home Runs,Albert Pujols,St. Louis,42.0
2010,On Base Percentage,Joey Votto,Cincinnati,0.424
2010,RBI,Albert Pujols,St. Louis,118.0
2010,Runs,Albert Pujols,St. Louis,115.0
2010,Slugging Average,Joey Votto,Cincinnati,0.6
2010,Stolen Bases,Michael Bourn,Houston,52.0
2010,Total Bases,Carlos Gonzalez,Colorado,351.0
2010,Triples,Dexter Fowler,Colorado,14.0
2004,Base on Balls,Barry Bonds,San Francisco,232.0
2004,Batting Average,Barry Bonds,San Francisco,0.362
2004,Doubles,Lyle Overbay,Milwaukee,53.0
2004,Hits,Juan Pierre,Florida,221.0
2004,Home Runs,Adrian Beltre,Los Angeles,48.0
2004,On Base Percentage,Barry Bonds,San Francisco,0.609
2004,RBI,Vinny Castilla,Colorado,131.0
2004,Runs,Albert Pujols,St. Louis,133.0
2004,Slugging Average,Barry Bonds,San Francisco,0.812
2004,Stolen Bases,Scott Podsednik,Milwaukee,70.0
2004,Total Bases,Albert Pujols,St. Louis,389.0
2004,Triples,Juan Pierre,Florida,12.0
2005,Base on Balls,Brian Giles,San Diego,119.0
2005,Batting Average,Derrek Lee,Chicago,0.335
2005,Doubles,Derrek Lee,Chicago,50.0
2005,Hits,Derrek Lee,Chicago,199.0
2005,Home Runs,Andruw Jones,Atlanta,51.0
2005,On Base Percentage,Todd Helton,Colorado,0.445
2005,RBI,Andruw Jones,Atlanta,128.0
2005,Runs,Albert Pujols,St. Louis,129.0
2005,Slugging Average,Derrek Lee,Chicago,0.662
2005,Stolen Bases,Jose Reyes,New York,60.0
2005,Total Bases,Derrek Lee,Chicago,393.0
2005,Triples,Jose Reyes,New York,17.0
2011,Base on Balls,Joey Votto,Cincinnati,110.0
2011,Batting Average,Jose Reyes,New York,0.337
2011,Doubles,Joey Votto,Cincinnati,40.0
2011,Hits,Starlin Castro,Chicago,207.0
2011,Home Runs,Matt Kemp,Los Angeles,39.0
2011,On Base Percentage,Joey Votto,Cincinnati,0.416
2011,RBI,Matt Kemp,Los Angeles,126.0
2011,Runs,Matt Kemp,Los Angeles,115.0
2011,Slugging Average,Ryan Braun,Milwaukee,0.597
2011,Stolen Bases,Michael Bourn,Houston / Atlanta,61.0
2011,Total Bases,Matt Kemp,Los Angeles,353.0
2011,Triples,Jose Reyes,New York,16.0
1929,Base on Balls,Mel Ott,New York,113.0
1929,Batting Average,Lefty O'Doul,Philadelphia,0.398
1929,Doubles,Johnny Frederick,Brooklyn,52.0
1929,Hits,Lefty O'Doul,Philadelphia,254.0
1929,Home Runs,Chuck Klein,Philadelphia,43.0
1929,On Base Percentage,Lefty O'Doul,Philadelphia,0.465
1929,RBI,Hack Wilson,Chicago,159.0
1929,Runs,Rogers Hornsby,Chicago,156.0
1929,Slugging Average,Rogers Hornsby,Chicago,0.679
1929,Stolen Bases,Kiki Cuyler,Chicago,43.0
1929,Total Bases,Rogers Hornsby,Chicago,409.0
