Year,Statistic,Name,Team,#
1928,Base on Balls,Rogers Hornsby,Boston,107
1928,Batting Average,Rogers Hornsby,Boston,.387
1928,Doubles,Paul Waner,Pittsburgh,50
1928,Hits,Freddie Lindstrom,New York,231
1928,Home Runs,Jim Bottomley,St. Louis,31
1928,On Base Percentage,Rogers Hornsby,Boston,.498
1928,RBI,Jim Bottomley,St. Louis,136
1928,Runs,Paul Waner,Pittsburgh,142
1928,Slugging Average,Rogers Hornsby,Boston,.632
1928,Stolen Bases,Kiki Cuyler,Chicago,37
1928,Total Bases,Jim Bottomley,St. Louis,362
1928,Triples,Jim Bottomley,St. Louis,20
1928,Statistic,Name(s),Team(s),#
